year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,1,0,1,367,0,49,0,0,16,0,0,0,0,1,0,216,0,0,692,0,0,16,0,18,0,4,24,0,0,0,0,18,0,0,15,0,33,0,0,0,0,0,0,0,84,1,90,73,0,7,0,0,0,19
1962,1,0,1,360,0,48,0,0,16,0,0,0,0,1,0,243,0,0,682,0,0,20,0,19,0,7,23,1,0,0,0,18,0,0,18,0,29,0,0,0,0,0,0,0,73,2,93,71,0,9,0,0,0,19
1963,1,0,1,360,0,47,0,0,15,0,0,0,0,1,0,220,0,0,665,0,0,14,0,17,0,6,23,0,0,0,0,17,0,0,21,0,29,0,0,0,0,0,0,0,58,2,100,70,0,6,0,0,0,19
1964,1,0,1,389,0,46,0,0,15,0,0,0,0,1,0,191,0,0,651,0,0,19,0,18,0,5,23,0,0,0,0,17,0,0,21,0,31,0,0,0,0,0,0,0,41,3,98,67,0,6,0,0,0,18
1965,0,0,1,388,0,47,0,0,15,0,0,0,0,1,0,180,0,0,660,0,0,21,0,40,0,3,22,4,0,0,0,17,0,0,29,0,31,0,0,0,0,0,0,0,41,3,105,61,0,10,0,0,0,18
1966,1,0,1,381,0,46,0,0,14,0,0,0,0,2,0,177,0,0,679,0,0,22,2,19,0,4,22,2,23,0,0,16,0,0,34,0,30,0,0,1,0,0,1,0,62,4,127,59,0,16,0,0,0,20
1967,1,0,2,350,0,46,0,0,14,0,0,0,0,2,0,181,0,0,688,0,0,30,1,21,0,7,21,3,23,0,0,16,0,0,26,0,25,0,1,1,0,0,1,0,35,5,125,56,0,15,0,0,0,20
1968,2,0,2,350,0,46,0,0,14,0,0,0,0,3,0,143,0,0,704,0,0,18,0,26,0,2,21,1,23,0,0,16,0,0,42,0,27,0,0,1,0,0,1,0,68,5,131,62,0,13,0,0,0,20
1969,2,0,2,340,0,46,0,0,14,0,0,0,0,3,0,169,0,0,660,0,0,31,0,29,0,16,21,3,23,0,0,16,0,0,47,0,19,0,1,0,0,0,1,0,93,3,132,76,0,21,0,0,0,20
1970,1,0,1,343,0,46,0,0,14,0,0,0,0,4,0,137,0,0,638,0,0,30,0,30,0,12,21,2,23,0,0,15,0,0,39,0,38,0,0,1,0,0,1,0,72,3,133,66,0,14,1,0,0,20
1971,1,0,2,349,0,45,0,0,14,0,0,0,0,4,0,107,0,0,624,0,0,42,0,27,0,12,21,6,23,0,0,15,0,0,40,0,67,0,1,0,0,0,1,0,66,4,141,47,0,16,0,0,0,20
1972,1,0,1,342,0,45,0,0,14,0,0,0,0,3,0,93,0,0,618,0,0,48,0,24,0,7,19,2,22,0,0,14,0,0,107,0,68,0,1,0,0,0,1,0,25,2,140,42,0,18,0,0,0,20
1973,2,0,1,327,0,45,0,0,14,0,0,0,0,3,0,109,0,0,622,0,0,55,0,20,0,17,20,2,22,0,0,14,0,0,87,0,40,0,1,0,0,0,1,0,71,2,140,53,0,18,0,0,0,20
1974,1,0,1,323,0,43,0,0,14,0,0,0,0,3,0,131,0,0,626,0,0,59,1,22,0,16,20,0,23,0,0,14,0,0,71,0,13,0,1,1,0,0,1,0,78,2,149,67,0,15,0,0,0,20
1975,1,0,1,289,0,47,0,0,14,0,0,0,0,3,0,174,0,0,643,0,0,66,0,22,0,19,20,0,23,0,0,14,0,0,73,0,0,0,0,0,0,0,1,0,85,2,149,67,0,6,0,0,0,20
1976,1,0,1,258,0,49,0,0,14,0,0,0,0,3,0,222,0,0,660,0,0,75,0,16,0,19,20,0,0,0,0,14,0,0,74,0,0,0,0,0,0,0,1,0,90,2,158,68,0,11,0,0,0,20
1977,1,0,1,252,0,43,0,0,15,0,0,0,0,3,0,293,0,0,682,0,0,85,0,17,0,20,21,0,0,0,0,15,0,0,79,0,0,0,0,1,0,0,1,0,93,2,174,70,0,10,0,0,0,21
1978,1,0,1,255,0,40,0,0,16,0,0,0,0,3,0,361,0,0,694,0,0,96,1,18,0,21,22,0,0,0,0,15,0,0,79,0,0,0,0,1,0,0,1,0,97,2,188,60,0,17,0,0,0,21
1979,1,0,1,239,0,43,0,0,17,0,0,0,0,3,0,442,0,0,698,0,0,108,1,22,0,22,23,0,0,0,0,16,0,0,80,0,0,0,0,1,0,0,1,0,88,2,194,67,0,27,0,0,0,22
1980,1,0,1,230,0,44,0,0,18,0,0,0,0,3,0,440,0,0,676,0,0,118,1,19,0,24,23,0,0,0,0,16,0,0,75,0,0,0,0,1,0,0,1,0,89,2,197,51,0,18,0,0,0,22
1981,1,0,1,238,0,35,0,0,18,0,0,0,0,3,0,447,0,0,691,0,0,126,1,19,0,24,25,0,0,0,0,16,0,0,77,0,0,0,0,1,0,0,2,0,93,2,208,53,0,27,0,0,0,22
1982,1,0,1,246,0,26,0,0,18,0,0,0,0,3,0,466,0,0,693,0,0,131,1,23,0,23,24,0,0,0,0,15,0,0,72,0,0,0,0,1,0,0,2,0,91,2,204,50,0,27,0,0,0,23
1983,1,0,1,255,0,25,0,0,18,0,0,0,0,3,0,461,0,0,697,0,0,127,1,21,0,23,24,0,0,0,0,15,0,0,65,0,0,0,0,1,0,0,2,0,92,1,197,44,0,26,0,0,0,22
1984,1,0,1,262,0,15,0,0,18,0,0,0,0,3,0,465,0,0,700,0,0,130,1,21,0,25,23,0,0,0,0,14,0,0,56,0,0,0,0,1,0,0,2,0,96,1,226,44,0,25,0,0,0,22
1985,1,0,1,280,0,9,0,0,18,0,0,0,0,3,0,466,0,0,670,0,0,126,1,21,0,24,22,0,0,0,0,14,0,0,52,0,0,0,0,1,0,0,2,0,96,1,208,44,0,32,0,0,0,21
1986,1,0,1,280,0,9,0,0,19,0,0,0,0,4,0,465,0,0,668,0,0,130,1,21,0,24,21,0,0,0,0,14,0,0,47,0,0,0,0,1,0,0,2,0,97,1,203,40,0,39,0,0,0,20
1987,1,0,1,274,0,11,0,0,19,0,0,0,0,3,0,479,0,0,685,0,0,127,1,20,0,7,21,0,0,0,0,13,0,0,40,0,0,0,0,1,0,0,2,0,53,1,232,42,0,38,0,0,0,19
1988,1,0,1,276,0,8,0,0,19,0,0,0,0,4,0,492,0,0,669,0,0,124,1,19,0,12,21,0,0,0,0,13,0,0,44,0,0,0,0,1,0,0,2,0,109,1,195,34,0,37,0,0,0,19
1989,1,0,1,281,0,9,0,0,19,0,0,0,0,4,0,510,0,0,692,0,0,122,1,19,0,13,20,0,0,0,0,13,0,0,36,0,0,0,0,1,0,0,2,0,106,2,159,34,0,29,0,0,0,19
1990,1,0,1,287,0,12,0,0,20,0,0,0,0,4,0,523,0,0,500,0,0,53,1,20,0,13,20,0,0,0,0,13,0,0,25,0,0,0,0,2,0,0,1,0,113,4,148,24,0,29,0,0,0,20
1991,1,0,1,282,0,10,0,0,19,0,0,0,0,4,0,542,0,0,537,0,0,51,1,14,0,35,21,0,0,0,0,9,0,0,62,0,0,0,0,2,0,0,2,0,151,2,132,30,0,28,0,0,0,20
1992,1,0,1,302,0,9,0,0,20,0,0,0,0,4,0,576,0,0,504,0,0,49,1,15,0,37,20,0,0,0,0,16,0,0,40,0,0,0,0,1,0,0,2,0,153,1,173,36,0,27,0,0,0,20
1993,0,0,0,307,0,3,0,0,16,0,0,0,0,5,0,593,0,0,484,0,0,48,1,14,0,33,21,0,0,0,0,16,0,0,65,0,0,0,0,1,0,0,3,0,201,2,140,57,0,26,0,0,0,19
1994,0,0,0,272,0,12,0,0,17,0,0,1,2,5,0,619,0,0,458,0,0,52,1,13,0,52,20,0,0,0,0,7,0,0,57,0,0,0,0,1,0,0,4,0,208,1,120,53,0,31,0,0,0,21
1995,0,0,0,265,0,8,0,0,20,0,0,1,0,5,0,635,0,0,480,0,0,52,2,12,0,43,23,0,0,0,0,10,0,0,76,0,0,0,1,1,0,0,2,0,209,0,120,53,0,31,1,0,0,14
1996,0,0,0,208,0,8,0,0,19,0,0,1,0,5,0,636,0,0,498,0,0,52,2,11,0,37,24,0,0,0,0,13,0,0,67,0,0,0,0,1,0,0,6,0,149,0,89,45,0,31,1,0,1,16
1997,0,0,0,291,0,6,0,0,24,0,0,1,0,5,0,606,0,0,488,0,0,52,2,13,0,36,26,0,0,0,0,9,0,0,64,0,0,0,0,0,0,0,3,0,116,1,120,52,0,31,1,0,0,19
1998,0,0,0,291,0,5,0,0,19,0,0,0,0,6,0,544,0,0,495,0,0,52,2,11,0,53,28,0,0,0,0,7,0,0,46,0,0,0,0,1,0,0,1,0,91,1,105,36,0,32,1,0,0,18
1999,0,0,0,242,0,2,0,0,18,0,0,0,0,6,0,516,0,0,490,0,0,51,2,9,0,51,29,0,0,0,0,11,0,0,48,0,0,0,1,1,0,0,1,0,191,1,111,42,0,32,1,0,0,18
2000,0,0,0,251,0,2,0,0,19,0,0,0,0,6,0,510,0,0,553,0,0,49,2,7,0,46,36,0,0,0,0,9,0,0,36,0,0,0,1,1,0,0,1,0,142,1,105,59,0,38,1,0,0,20
2001,0,0,0,268,0,2,0,0,21,0,0,0,0,6,0,511,0,0,581,0,0,46,2,6,0,45,34,0,0,0,0,7,0,0,40,0,0,0,0,1,0,0,1,0,133,2,108,71,0,56,1,0,0,21
2002,0,0,0,277,0,2,0,0,23,0,0,1,0,6,0,514,0,0,582,0,0,102,2,5,0,43,33,1,58,0,0,7,0,0,43,0,0,0,1,0,0,0,1,0,133,2,111,72,0,51,1,0,0,19
2003,0,0,0,282,0,2,0,0,16,0,0,1,0,5,0,525,0,0,616,0,0,73,4,5,0,47,35,0,62,0,0,6,0,0,47,0,0,0,1,2,0,0,1,0,105,2,90,71,0,52,1,0,0,19
2004,0,0,0,224,0,2,0,0,16,0,0,1,0,5,0,525,0,0,638,0,0,70,2,5,0,48,30,0,67,0,0,7,0,1,48,0,0,0,1,8,0,0,4,0,142,1,102,67,0,57,0,0,0,19
2005,0,0,0,195,0,2,0,0,17,0,0,1,0,5,0,570,0,0,667,0,0,67,2,4,0,47,29,0,71,0,0,7,0,0,49,0,0,0,1,8,0,0,4,0,92,1,102,66,0,43,0,0,0,19
2006,0,0,0,196,0,1,0,0,18,0,0,1,0,0,0,586,0,0,631,0,0,57,2,4,0,47,28,0,72,0,0,7,0,0,88,0,0,0,1,5,0,0,4,0,89,2,95,50,0,64,0,0,0,17
2007,0,0,0,191,0,1,0,0,19,0,0,1,0,0,0,561,0,0,617,0,0,37,2,4,0,47,27,0,75,0,0,6,0,0,92,0,0,0,3,15,0,0,4,0,92,3,97,35,0,93,0,0,0,17
2008,0,0,0,194,0,1,0,0,20,0,0,1,0,0,0,628,0,0,516,0,0,88,5,7,0,38,2,0,66,0,0,7,0,0,73,0,0,0,3,13,0,0,4,0,78,4,82,20,0,133,6,0,0,14
2009,0,0,1,204,0,1,0,0,19,0,0,1,0,0,0,620,0,0,607,0,0,82,9,7,0,34,0,0,111,0,0,15,0,0,68,0,0,0,3,13,0,0,5,0,80,3,85,29,0,55,6,0,0,13
